family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum
er,400,814,2,4.0,4.07,22,3332863830,127,0,2068,2068,407,185,True,814,8242
er,400,788,2,4.0,3.94,23,1980553185,115,0,2263,2263,390,191,True,788,7732
er,400,791,2,4.0,3.955,24,34436143,144,0,2588,2588,420,171,True,791,7888
er,400,792,2,4.0,3.96,25,2809301715,139,0,3249,3249,416,184,True,792,7934
er,400,815,2,4.0,4.075,26,3331742406,121,0,2676,2676,395,174,True,815,8090
er,400,778,2,4.0,3.89,27,3898890827,120,0,2878,2878,378,185,True,778,7806
er,400,782,2,4.0,3.91,28,1385882735,126,0,2374,2374,394,181,True,782,7838
er,400,815,2,4.0,4.075,29,2833834537,129,0,1802,1802,418,185,True,815,8470
er,400,809,2,4.0,4.045,30,2274134804,131,0,2938,2938,381,183,True,809,8288
er,400,768,2,4.0,3.84,31,358878265,131,0,2398,2398,390,169,True,768,7448
er,400,860,2,4.0,4.3,32,16651474,122,0,3276,3276,432,211,True,860,9080
er,400,840,2,4.0,4.2,33,2681979638,132,0,2649,2649,427,192,True,840,8788
er,400,781,2,4.0,3.905,34,1575097171,132,0,2095,2095,423,193,True,781,7762
er,400,763,2,4.0,3.815,35,3310888225,131,0,2340,2340,382,172,True,763,7452
er,400,808,2,4.0,4.04,36,1597309204,117,0,2150,2150,407,179,True,808,7982
er,400,790,2,4.0,3.95,37,1308917815,116,0,2640,2640,407,194,True,790,7930
er,400,799,2,4.0,3.995,38,3076237120,128,0,1743,1743,396,186,True,799,8284
er,400,795,2,4.0,3.975,39,385163376,137,0,2570,2570,402,174,True,795,7790
er,800,1702,2,4.0,4.255,0,343610413,269,0,6441,6441,877,421,True,1702,17746
er,800,1658,2,4.0,4.145,1,2712817830,251,0,5983,5983,819,396,True,1658,17082
er,800,1590,2,4.0,3.975,2,3518069344,252,0,5565,5565,792,348,True,1590,16016
er,800,1528,2,4.0,3.82,3,3381819726,233,0,5306,5306,757,352,True,1528,15094
er,800,1605,2,4.0,4.0125,4,237782959,246,0,8390,8390,799,380,True,1605,15934
er,800,1566,2,4.0,3.915,5,500501465,255,0,8251,8251,768,334,True,1566,15168
