family,n,m,k_colors,average_degree,realized_average_degree,trial,seed,recolor_steps,sweeps,node_evaluations,activation_count,initial_potential,final_potential,converged,edge_bound,degree_square_sum,max_degree,threshold_h,weight_w,excess_x0,parity_epsilon,threshold_activation_count,relaxation_bound,high_palette
er,800,1566,2,4.0,3.915,5,500501465,255,0,8251,8251,768,334,True,1566,15168,11,687,6,81,0,113,11946.7798991,False
er,800,1589,2,4.0,3.9725,6,3086624941,241,0,5626,5626,773,364,True,1589,15558,10,693,5,80,0,108,9930.95855789,False
er,800,1586,2,4.0,3.965,7,3118381398,259,0,4375,4375,776,341,True,1586,15754,11,683,6,93,1,139,15590.6744078,False
er,800,1532,2,4.0,3.83,8,1056218632,264,0,5305,5305,777,344,True,1532,14600,12,666,6,111,0,152,12698.9846574,False
er,800,1634,2,4.0,4.085,9,394793117,281,0,5180,5180,844,382,True,1634,16562,11,712,6,132,1,228,16431.1544158,False
er,800,1491,2,4.0,3.7275,10,4266359515,227,0,4471,4471,727,356,True,1491,14042,11,639,6,88,0,144,12144.536488,False
er,800,1590,2,4.0,3.975,11,293324203,268,0,5945,5945,815,359,True,1590,16010,17,693,9,122,1,164,24363.1219325,False
er,800,1544,2,4.0,3.86,12,2196122310,232,0,4894,4894,760,364,True,1544,14832,11,673,6,87,0,107,12117.2637608,False
er,800,1520,2,4.0,3.8,13,354086929,241,0,6798,6798,753,345,True,1520,14804,14,655,7,98,0,164,14468.3742211,False
er,800,1563,2,4.0,3.9075,14,3426215952,254,0,5158,5158,794,356,True,1563,15332,11,677,6,117,1,193,16141.648811,False
er,800,1606,2,4.0,4.015,15,1505732280,237,0,5271,5271,792,386,True,1606,16142,11,703,6,89,1,130,15485.1639742,False
er,800,1675,2,4.0,4.1875,16,1505717677,256,0,6524,6524,814,374,True,1675,17424,10,732,5,82,1,158,12740.4709397,False
er,800,1653,2,4.0,4.1325,17,2442648668,247,0,5587,5587,839,396,True,1653,16894,11,732,6,107,0,171,12611.3042831,False
er,800,1631,2,4.0,4.0775,18,135730217,270,0,5618,5618,821,371,True,1631,16544,13,719,7,102,1,172,18447.7631635,False
er,800,1595,2,4.0,3.9875,19,4068612003,229,0,4957,4957,790,378,True,1595,15700,11,700,6,90,1,130,15511.9796167,False
er,800,1571,2,4.0,3.9275,20,455853976,248,0,5587,5587,755,353,True,1571,15574,12,679,6,76,0,120,11794.8324607,False
er,800,1645,2,4.0,4.1125,21,1470740122,254,0,4409,4409,808,377,True,1645,16768,11,725,6,83,1,126,15317.6560367,False
er,800,1642,2,4.0,4.105,22,221644234,245,0,4260,4260,812,379,True,1642,16550,11,720,6,92,1,117,15564.7284619,False
er,800,1609,2,4.0,4.0225,23,141188725,265,0,5313,5313,797,357,True,1609,15952,12,701,6,96,1,152,15666.8705725,False
er,800,1603,2,4.0,4.0075,24,107142464,251,0,6616,6616,783,378,True,1603,15986,12,701,6,82,0,124,11976.0481918,False
er,800,1516,2,4.0,3.79,25,1695087099,246,0,4844,4844,754,346,True,1516,14428,12,657,6,97,0,167,12376.9738222,False
er,800,1628,2,4.0,4.07,26,3658895622,233,0,5555,5555,778,375,True,1628,16444,12,715,6,63,0,91,11347.8381689,False
er,800,1608,2,4.0,4.02,27,2921106753,266,0,6675,6675,808,369,True,1608,16058,12,701,6,107,1,180,15927.2219994,False
er,800,1524,2,4.0,3.81,28,2360589616,290,0,6698,6698,794,327,True,1524,14378,11,655,6,139,1,240,16555.1666776,False
er,800,1608,2,4.0,4.02,29,26431740,241,0,5954,5954,801,359,True,1608,16262,11,704,6,97,1,182,15691.7410388,False
er,800,1635,2,4.0,4.0875,30,1378216317,245,0,4087,4087,793,388,True,1635,16498,11,719,6,74,0,138,11731.2535133,False
er,800,1560,2,4.0,3.9,31,1261174020,232,0,4340,4340,753,369,True,1560,15418,11,685,6,68,1,109,14839.2641804,False
er,800,1605,2,4.0,4.0125,32,4035059918,260,0,8713,8713,793,369,True,1605,16314,12,702,6,91,0,162,12224.5430732,False
er,800,1593,2,4.0,3.9825,33,1910103327,240,0,6676,6676,774,373,True,1593,15876,13,688,7,86,1,186,17970.0162763,False
er,800,1659,2,4.0,4.1475,34,996428743,254,0,4929,4929,833,377,True,1659,17128,13,729,7,104,1,168,18502.1333768,False
er,800,1527,2,4.0,3.8175,35,2249375065,251,0,5402,5402,778,342,True,1527,14712,12,667,6,111,1,164,16015.3046617,False
er,800,1649,2,4.0,4.1225,36,3789811316,274,0,7157,7157,829,378,True,1649,16654,11,728,6,101,0,168,12473.4684186,False
er,800,1589,2,4.0,3.9725,37,3016186918,269,0,6143,6143,798,348,True,1589,15542,11,691,6,107,0,133,12611.3042831,False
er,800,1549,2,4.0,3.8725,38,341022714,246,0,5405,5405,800,379,True,1549,15524,12,678,6,122,1,184,16242.0812884,False
er,800,1572,2,4.0,3.93,39,800110464,234,0,6186,6186,748,350,True,1572,15570,11,686,6,62,1,94,14617.5725999,False
ba,100,196,2,4.0,3.92,0,3192658091,25,0,256,256,104,50,True,196,2726,23,90,12,14,1,13,2761.66785082,False
ba,100,196,2,4.0,3.92,1,2678081474,28,0,247,247,100,48,True,196,2596,21,89,11,11,0,19,1660.93253968,False
ba,100,196,2,4.0,3.92,2,2702236852,20,0,609,609,82,50,True,196,2904,30,91,15,0,0,0,0,False
ba,100,196,2,4.0,3.92,3,2238124534,33,0,456,456,109,44,True,196,2870,27,87,14,22,1,23,3538.24697551,False
ba,100,196,2,4.0,3.92,4,3692290391,26,0,366,366,98,55,True,196,2660,18,90,9,8,0,22,1223.03571429,False
ba,100,196,2,4.0,3.92,5,2812894824,29,0,374,374,92,44,True,196,2808,21,89,11,3,0,3,1008.33333333,False
ba,100,196,2,4.0,3.92,6,2172498843,22,0,272,272,98,50,True,196,3006,27,88,14,10,1,16,2986.55774222,False
ba,100,196,2,4.0,3.92,7,584437214,31,0,367,367,104,45,True,196,2782,25,89,13,15,1,21,3036.6344246,False
ba,100,196,2,4.0,3.92,8,610860862,21,0,525,525,89,48,True,196,3224,26,91,13,0,0,0,0,False
ba,100,196,2,4.0,3.92,9,1872792671,23,0,234,234,96,43,True,196,3438,28,89,14,7,1,13,2737.18725719,False
ba,100,196,2,4.0,3.92,10,367293505,21,0,202,202,92,51,True,196,3210,23,90,12,2,1,6,1600,False
ba,100,196,2,4.0,3.92,11,2809719970,28,0,294,294,108,50,True,196,3056,22,89,11,19,0,37,1951.25681143,False
