family,n,k_colors,average_degree,runs,mean_tau_h,mean_b_h,mean_w,mean_delta,mean_degree_variance,mean_degree_cv2,certificate_looseness,cell_tau_over_b
ba,400,5,12.0,40,53.725,75237.673438835,69.15,85.9,104.23885,0.7460959084519341,1400.422027712145,0.0007140704589127961
ba,400,5,16.0,40,58.675,90020.8555087125,76.45,94.95,154.25872500000003,0.6274189343307477,1534.2284705362165,0.000651793405743864
ba,400,8,4.0,40,284.3,50221.5063187675,46.35,52.425,21.923224999999995,1.3840070326506904,176.64968807164087,0.005660921402784741
ba,400,8,8.0,40,185.225,78566.778434555,62.875,71.425,58.52697500000001,0.9330517134731151,424.16940712406534,0.002357548619029731
ba,400,8,12.0,40,102.625,93642.530338105,77.0,87.475,102.93409999999999,0.7367570809749171,912.4728900180755,0.0010959229703582651
ba,400,8,16.0,40,44.825,89938.61880426,85.675,97.375,154.527725,0.6285130422545294,2006.4387909483546,0.0004983954678863362
ba,800,2,4.0,40,93.425,76062.94020328,36.1,71.8,25.911649999999998,1.6276059823744824,814.1604517343324,0.001228259120017179
ba,800,2,8.0,40,80.825,109786.51194073749,50.175,99.825,70.96496249999998,1.1199995344183225,1358.3236862448189,0.0007362015476330021
ba,800,2,12.0,40,78.05,135274.2430561975,59.075,117.55,128.9573375,0.9091227693567976,1733.1741583113069,0.0005769760616407617
ba,800,2,16.0,40,63.65,149403.8199422925,68.5,136.5,201.553775,0.8033052072173759,2347.2713266660253,0.00042602659038159087
ba,800,3,4.0,40,282.675,119470.26349863,48.675,72.525,25.8649625,1.6246733688858737,422.6417741173786,0.0023660699467967735
ba,800,3,8.0,40,131.475,161651.676465225,65.725,98.05,70.18652499999999,1.1077138992702202,1229.5240651471763,0.0008133228363287856
ba,800,3,12.0,40,85.575,194387.3037471,78.825,117.8,130.07752499999998,0.917019861386934,2271.543134643295,0.0004402293686388799
ba,800,3,16.0,40,87.55,225277.3905981,92.125,137.8,203.3339,0.8104000070145905,2573.1283906122217,0.0003886319872915751
ba,800,4,4.0,40,373.05,145016.8836929975,54.25,71.85,26.055837499999996,1.6366629292529566,388.7331019782804,0.002572459085452087
ba,800,4,8.0,40,85.925,172521.10751807498,74.775,99.175,70.48089999999999,1.1123598520239386,2007.8103871757344,0.0004980549988122333
ba,800,4,12.0,40,130.85,232221.7019876,90.925,120.675,130.8819625,0.9226909807040065,1774.7168665464274,0.0005634701618326224
ba,800,4,16.0,40,73.1,263943.431559925,107.075,142.275,203.87615,0.8125611783874096,3610.7172580017104,0.00027695328339096616
ba,800,5,4.0,40,427.175,155697.3380907625,59.075,73.2,25.5014625,1.6018405977349386,364.48139074328435,0.002743624298515507
ba,800,5,8.0,40,184.625,208028.411827625,79.825,99.275,71.36858749999999,1.126369717620767,1126.7618785517943,0.0008874989640981475
ba,800,5,12.0,40,111.125,250293.12659149998,98.35,122.4,130.80102499999998,0.922120387936109,2252.356594749156,0.0004439794312904389
ba,800,5,16.0,40,121.875,293219.444886825,110.925,138.15,200.4217125,0.7987933011459291,2405.903137532923,0.00041564433097893817
ba,800,8,4.0,40,556.125,157581.00911759998,64.875,73.675,26.248087499999997,1.648738858424256,283.3553771501011,0.003529137191810807
ba,800,8,8.0,40,369.2,236303.9370767,86.95,98.825,70.700775,1.1158300137622787,640.043166513272,0.0015623946201123358
ba,800,8,12.0,40,205.3,267811.08352640003,100.925,114.9,128.31346249999999,0.9045835827198248,1304.4865247267414,0.0007665851513563744
ba,800,8,16.0,40,91.525,290996.921641925,120.725,137.575,201.96165000000002,0.8049308186026936,3179.4255300947825,0.0003145222275327797
er,100,2,4.0,40,21.575,929.9282790456251,5.025,9.475,3.7085999999999997,0.22740983413546706,43.102121856112404,0.023200713954136525
er,100,2,8.0,40,14.475,1417.5418406929998,7.85,15.225,7.3754300000000015,0.11545335936788037,97.93035168863557,0.01021133880106392
er,100,2,12.0,40,11.925,1652.6648328055003,10.575,20.675,10.567219999999999,0.07405249723104765,138.58824593756816,0.007215619140244292
er,100,2,16.0,40,9.0,2072.03469616625,13.375,26.125,13.322199999999995,0.05162355128330699,230.22607735180554,0.004343556609670732
er,100,3,4.0,40,24.65,1359.458445847775,6.7,9.575,3.66961,0.24253488132916953,55.150444050619676,0.01813222027880959
er,100,3,8.0,40,14.175,1791.86975455875,10.5,15.25,7.1024,0.11128082986049634,126.41056469550263,0.007910731214663876
er,100,3,12.0,40,13.5,2730.090026497,14.05,20.625,10.52233,0.07308568789743942,202.22889085162964,0.004944891878646931
er,100,3,16.0,40,8.575,2956.622641377,17.45,25.625,13.036139999999994,0.051418123429724384,344.79564330927116,0.0029002686646566194
er,100,4,4.0,40,32.5,1621.3974369617501,7.5,9.5,3.8375600000000007,0.2395034365574193,49.88915190651539,0.02004443775420048
er,100,4,8.0,40,19.65,2604.0470966010002,11.85,15.225,7.224489999999998,0.11350394291300359,132.52148074305344,0.007545946471416999
er,100,4,12.0,40,13.2,3269.470815343,16.075,20.925,10.396519999999999,0.07139666484795121,247.68718298053034,0.0040373506128438055
er,100,4,16.0,40,12.475,4066.741744893,19.475,25.425,13.091969999999993,0.05053940264189749,325.9913222359118,0.00306756631784304
er,100,5,4.0,40,42.45,1718.4490861359998,8.0,9.525,3.7130500000000004,0.23199152729258574,40.481721699316836,0.024702506662824964
er,100,5,8.0,40,21.475,2624.3804007765,12.875,15.575,7.30574,0.11357789612013461,122.20630504197905,0.008182883850849514
er,100,5,12.0,40,16.875,3606.4831226885,17.05,20.85,10.11947,0.06998993936302292,213.71751838154074,0.004679073608812652
er,100,5,16.0,40,13.1,4275.5784337922505,20.875,25.55,12.806940000000006,0.050373894664205464,326.38003311391225,0.0030639129191183784
er,100,8,4.0,40,126.85,1892.2459283725002,8.775,9.75,3.951800000000001,0.2437897943358808,14.917192971009069,0.06703674088975436
er,100,8,8.0,40,28.55,2940.042062308,14.025,15.425,7.085380000000001,0.11376903614639253,102.97870621043782,0.00971074542300514
er,100,8,12.0,40,17.125,3821.87193026775,18.15,20.2,10.240400000000003,0.07069407322973009,223.17500322731388,0.004480788554000623
er,100,8,16.0,40,17.125,4803.625208176,22.45,25.4,13.230849999999995,0.05233282996569202,280.5036617912993,0.0035650158490409347
er,200,2,4.0,40,41.075,2526.25522941825,5.625,10.65,3.985952499999999,0.2514557020024559,61.50347484889227,0.01625924392819914
er,200,2,8.0,40,23.3,3580.40981741175,8.625,16.725,7.712477500000003,0.11978810527488475,153.6656573996459,0.006507634932373017
er,200,2,12.0,40,20.3,4565.41748482475,11.25,21.975,11.014997500000003,0.07618908912643382,224.8974130455542,0.004446471777767602
er,200,2,16.0,40,17.8,4871.983541487,13.625,26.875,14.458047500000006,0.05628036984959621,273.7069405329775,0.0036535427200082827
er,200,3,4.0,40,50.95,3426.76008639725,7.175,10.2,3.82147,0.24582729934943753,67.25731278502943,0.01486827169554396
er,200,3,8.0,40,30.025,5107.601993798,11.075,16.3,7.664227499999998,0.11933590127549099,170.111640093189,0.0058784924973516745
er,200,3,12.0,40,25.85,7364.420218957501,15.15,22.225,11.391095000000005,0.07895227955527481,284.8905307140232,0.003510120176664674
er,200,3,16.0,40,22.875,8426.80493709925,18.6,27.375,14.593424999999991,0.05684581939832062,368.38491528302734,0.002714551976786855
er,200,4,4.0,40,56.35,3873.48239959725,8.075,10.1,3.785052499999999,0.23622236821674622,68.73970540545253,0.014547632901561412
er,200,4,8.0,40,35.3,6115.03070027125,12.7,16.475,7.433059999999999,0.11674074834893051,173.23033145244335,0.005772661124732238
er,200,4,12.0,40,28.4,8047.135977207001,16.95,22.15,11.233382500000001,0.07929417314388995,283.3498583523592,0.0035292059287231115
er,200,4,16.0,40,17.925,9674.978374585251,21.05,27.575,14.937975000000005,0.05810863125580514,539.7477475361367,0.0018527173194605112
er,200,5,4.0,40,85.075,4292.68807714125,8.675,10.5,3.9411750000000003,0.2483440144742059,50.45769118003232,0.019818584176434357
er,200,5,8.0,40,40.275,6794.0200744485,13.925,16.925,7.87706,0.12168316989378083,168.69075293478585,0.005928007212028925
er,200,5,12.0,40,31.775,9482.398164935501,18.5,22.55,11.3830475,0.07822623581864971,298.42323099718334,0.0033509455569477376
er,200,5,16.0,40,24.025,10869.48354187375,22.05,27.175,14.296187499999997,0.05612380564388129,452.423872710666,0.0022103166086452734
er,200,8,4.0,40,244.375,4613.10483096,8.975,9.975,3.8579125,0.23692273886733095,18.877155318506393,0.052974083389547615
er,200,8,8.0,40,60.825,7552.786691218001,14.575,16.3,7.349557499999999,0.11516031795515833,124.17240758270448,0.00805331892541388
er,200,8,12.0,40,37.15,10123.50541085175,19.6,21.825,11.273454999999997,0.07751427652730265,272.503510386319,0.0036696774973002506
er,200,8,16.0,40,30.85,12347.10361865325,24.875,27.9,14.7990775,0.0575603977688172,400.2302631654214,0.0024985616831945676
er,400,2,4.0,40,79.825,6229.41192761875,6.0,11.55,4.113405625,0.2565389203001363,78.03835800336674,0.012814211185182264
er,400,2,8.0,40,53.625,9089.944497989749,8.85,17.275,7.727257499999999,0.12052692739752824,169.50945450796735,0.005899375954590177
er,400,2,12.0,40,36.975,11542.717181949,11.7,22.875,11.315629374999999,0.07952836355459929,312.17625914669367,0.0032033185442525707
er,400,2,16.0,40,36.375,14387.86539394425,14.625,28.85,15.593913750000004,0.06071307272285816,395.5426912424536,0.0025281721092073866
er,400,3,4.0,40,96.125,9001.6202431255,7.875,11.2,3.937293125,0.24488263926675305,93.64494401170872,0.010678633113123191
er,400,3,8.0,40,59.275,12629.273604915,12.025,17.525,7.857435,0.12121732641460467,213.0623973836356,0.004693460752717531
er,400,3,12.0,40,45.5,16939.594350175,15.625,23.0,11.54792,0.08107580365973785,372.2987769269231,0.0026860147332589427
er,400,3,16.0,40,41.175,22043.8541213825,19.85,29.2,15.482488125000007,0.06009542239780591,535.3698633001216,0.0018678675595144823
er,400,4,4.0,40,117.475,9134.11378009675,8.5,10.75,3.9400118749999997,0.2438796488615263,77.75368189058736,0.012861127289215318
er,400,4,8.0,40,64.7,15353.293893942498,13.625,17.65,7.7231118750000025,0.12027607971744374,237.29975106557183,0.004214079431223992
er,400,4,12.0,40,47.15,19835.5659052075,17.85,23.275,11.8633625,0.08268803449358823,420.6906872790562,0.0023770433485651925
er,400,4,16.0,40,44.375,24571.1860615,22.05,28.9,15.021596875000006,0.05886366600324226,553.7168689915493,0.00180597712657958
er,400,5,4.0,40,157.7,10731.08253527075,9.075,11.075,3.9379606249999997,0.24544321412951517,68.04744790913603,0.014695628281832159
er,400,5,8.0,40,77.6,16049.312306454998,14.7,17.85,7.775886249999999,0.12060900577850635,206.8210348769974,0.004835098134939367
er,400,5,12.0,40,55.45,21478.07597402,19.075,23.35,11.820530624999998,0.08173959525266046,387.34131603282236,0.002581702386520684
er,400,5,16.0,40,48.725,25633.74029082,23.475,28.8,15.502041874999993,0.060390695282600784,526.0901034544894,0.0019008150760366986
er,400,8,4.0,40,476.7,11671.516015168,10.1,11.1,3.922056875,0.24530615776737824,24.48398576708202,0.0408430232525486
er,400,8,8.0,40,120.55,17687.838084259998,15.6,17.55,7.872156249999999,0.12322930586419796,146.72615582131894,0.0068154174312164625
er,400,8,12.0,40,72.675,23672.5796851725,21.05,23.425,11.510147499999999,0.07967778063398738,325.73209061124874,0.0030700076192169516
er,400,8,16.0,40,64.075,28867.0720228125,25.65,28.7,15.349148749999994,0.06007236960741034,450.52004717616074,0.002219657052484023
er,800,2,4.0,40,151.175,14571.57203508475,6.125,11.675,3.9500075000000003,0.24917896852721996,96.38876821620472,0.010374652757849868
er,800,2,8.0,40,103.175,22352.225474675,9.475,18.4,7.9785759375,0.12446042719523127,216.64381366295132,0.004615871476283064
er,800,2,12.0,40,76.15,29221.415455385002,12.5,24.475,11.74960953125,0.0817454387902686,383.73493703722914,0.002605965481592264
er,800,2,16.0,40,64.5,33667.7629248375,15.075,29.625,15.490696718750005,0.060617326602228,521.9808205401163,0.0019157792023186914
er,800,3,4.0,40,193.675,20122.03363566,8.125,11.575,3.9620804687500004,0.24660399893712745,103.89587523252871,0.009625021183583143
er,800,3,8.0,40,119.075,30549.974386147504,12.375,17.95,7.8172193750000005,0.1230533613491318,256.56077586519,0.0038977119422395666
er,800,3,12.0,40,88.9,40375.215328984996,16.475,24.25,11.854628593750002,0.0817532553251159,454.1644019008436,0.00220184584219863
er,800,3,16.0,40,80.475,50149.019738079995,20.6,30.325,15.377838593749999,0.06011783581318565,623.1627180873563,0.0016047173089385907
er,800,4,4.0,40,238.925,23380.7383799175,9.275,11.825,3.9865640625,0.25159275805709924,97.8580658362143,0.010218881718689461
